CountryID;CityID;DistrictID;LanguageID;DistrictName;Latitute;Longitude
FL;32383;;;;47.06666666667;9.5
FL;32384;;;;47.21666666667;9.51666666667
FL;32385;;;;47.21666666667;9.5
FL;32386;;;;47.21666666667;9.53333333333
FL;32387;;;;47.2;9.55
FL;32388;;;;47.23333333333;9.51666666667
FL;32389;;;;47.16666666667;9.5
FL;35160;;;;47.21666666667;9.56666666667
FL;35161;;;;47.23333333333;9.53333333333
FL;35162;;;;47.1;9.53333333333
FL;35163;;;;47.11666666667;9.53333333333
FL;35164;;;;47.13333333333;9.51666666667
